hotspot_id,region_id,date,centroid_lat,centroid_lon,avg_estimated_aqi,max_estimated_aqi,severity,affected_cell_count
HS_delhi_ncr_2025-10-18_020,delhi_ncr,2025-10-18,28.5,77.1,283.3,328.0,Very Poor,36
HS_delhi_ncr_2025-10-18_021,delhi_ncr,2025-10-18,28.4982,77.4183,320.6,382.1,Very Poor,41
HS_delhi_ncr_2025-10-18_022,delhi_ncr,2025-10-18,28.775,76.875,243.4,287.4,Poor,15
HS_delhi_ncr_2025-10-18_023,delhi_ncr,2025-10-18,28.775,77.1,289.7,331.5,Very Poor,30
HS_delhi_ncr_2025-10-18_024,delhi_ncr,2025-10-18,28.7735,77.4176,286.2,362.5,Very Poor,34
HS_delhi_ncr_2025-10-19_025,delhi_ncr,2025-10-19,28.4714,76.8821,266.3,293.8,Poor,14
HS_delhi_ncr_2025-10-19_026,delhi_ncr,2025-10-19,28.5,77.1,318.9,370.1,Very Poor,36
HS_delhi_ncr_2025-10-19_027,delhi_ncr,2025-10-19,28.4982,77.4183,311.3,380.7,Very Poor,41
HS_delhi_ncr_2025-10-19_028,delhi_ncr,2025-10-19,28.7812,76.9,243.0,326.9,Very Poor,8
HS_delhi_ncr_2025-10-19_029,delhi_ncr,2025-10-19,28.775,77.1,295.1,372.8,Very Poor,30
HS_delhi_ncr_2025-10-19_030,delhi_ncr,2025-10-19,28.7735,77.4176,274.3,315.5,Very Poor,34
HS_delhi_ncr_2025-10-20_031,delhi_ncr,2025-10-20,28.4985,76.875,294.7,320.5,Very Poor,17
HS_delhi_ncr_2025-10-20_032,delhi_ncr,2025-10-20,28.4953,77.1109,291.3,392.2,Very Poor,32
HS_delhi_ncr_2025-10-20_033,delhi_ncr,2025-10-20,28.5129,77.3819,296.6,357.9,Very Poor,29
HS_delhi_ncr_2025-10-20_034,delhi_ncr,2025-10-20,28.775,76.875,294.7,354.4,Very Poor,15
HS_delhi_ncr_2025-10-20_035,delhi_ncr,2025-10-20,28.775,77.1,337.3,411.3,Severe,30
HS_delhi_ncr_2025-10-20_036,delhi_ncr,2025-10-20,28.7797,77.418,296.8,352.9,Very Poor,32
HS_delhi_ncr_2025-10-21_037,delhi_ncr,2025-10-21,28.5019,76.8788,305.2,340.2,Very Poor,13
HS_delhi_ncr_2025-10-21_038,delhi_ncr,2025-10-21,28.5083,77.1271,257.7,275.3,Poor,24
HS_delhi_ncr_2025-10-21_039,delhi_ncr,2025-10-21,28.47,77.445,257.3,290.4,Poor,20
HS_delhi_ncr_2025-10-21_040,delhi_ncr,2025-10-21,28.775,76.875,252.5,269.6,Poor,15
HS_delhi_ncr_2025-10-21_041,delhi_ncr,2025-10-21,28.765,77.055,249.8,269.0,Poor,15
HS_delhi_ncr_2025-10-21_042,delhi_ncr,2025-10-21,28.7714,77.3982,272.8,290.0,Poor,14
HS_delhi_ncr_2025-10-22_043,delhi_ncr,2025-10-22,28.525,76.875,275.4,302.8,Very Poor,15
HS_delhi_ncr_2025-10-22_044,delhi_ncr,2025-10-22,28.565,76.985,250.4,261.8,Poor,5
HS_delhi_ncr_2025-10-22_045,delhi_ncr,2025-10-22,28.775,76.875,260.1,328.8,Very Poor,15
HS_delhi_ncr_2025-10-22_046,delhi_ncr,2025-10-22,28.7821,77.0214,246.6,263.4,Poor,14
HS_delhi_ncr_2025-10-23_047,delhi_ncr,2025-10-23,28.5,76.875,246.5,278.3,Poor,18
HS_delhi_ncr_2025-10-23_048,delhi_ncr,2025-10-23,28.5,77.1,271.4,328.8,Very Poor,36
HS_delhi_ncr_2025-10-23_049,delhi_ncr,2025-10-23,28.4982,77.4183,287.5,339.8,Very Poor,41
HS_delhi_ncr_2025-10-23_050,delhi_ncr,2025-10-23,28.775,76.875,237.3,290.6,Poor,15
HS_delhi_ncr_2025-10-23_051,delhi_ncr,2025-10-23,28.7733,77.1043,264.8,309.6,Very Poor,29
HS_delhi_ncr_2025-10-23_052,delhi_ncr,2025-10-23,28.7735,77.4176,261.1,331.9,Very Poor,34
HS_delhi_ncr_2025-10-24_053,delhi_ncr,2025-10-24,28.4375,76.875,206.8,220.4,Poor,8
HS_delhi_ncr_2025-10-24_054,delhi_ncr,2025-10-24,28.5202,77.1464,233.8,272.3,Poor,21
HS_delhi_ncr_2025-10-24_055,delhi_ncr,2025-10-24,28.4982,77.4183,300.1,355.9,Very Poor,41
HS_delhi_ncr_2025-10-24_056,delhi_ncr,2025-10-24,28.7806,76.8639,244.4,262.7,Poor,9
HS_delhi_ncr_2025-10-24_057,delhi_ncr,2025-10-24,28.7808,77.1058,253.7,342.5,Very Poor,26
HS_delhi_ncr_2025-10-24_058,delhi_ncr,2025-10-24,28.7735,77.4189,289.7,351.8,Very Poor,33
HS_delhi_ncr_2025-10-25_059,delhi_ncr,2025-10-25,28.4956,76.875,300.8,374.5,Very Poor,17
HS_delhi_ncr_2025-10-25_060,delhi_ncr,2025-10-25,28.5,77.1,328.9,444.0,Severe,36
HS_delhi_ncr_2025-10-25_061,delhi_ncr,2025-10-25,28.4982,77.4183,320.7,403.1,Severe,41
HS_delhi_ncr_2025-10-25_062,delhi_ncr,2025-10-25,28.775,76.875,267.9,311.9,Very Poor,15
HS_delhi_ncr_2025-10-25_063,delhi_ncr,2025-10-25,28.775,77.1,334.6,435.6,Severe,30
HS_delhi_ncr_2025-10-25_064,delhi_ncr,2025-10-25,28.7735,77.4176,293.1,361.4,Very Poor,34
HS_delhi_ncr_2025-10-26_065,delhi_ncr,2025-10-26,28.4983,76.8783,228.5,264.7,Poor,15
HS_delhi_ncr_2025-10-26_066,delhi_ncr,2025-10-26,28.517,77.093,243.3,314.4,Very Poor,25
HS_delhi_ncr_2025-10-26_067,delhi_ncr,2025-10-26,28.4988,77.4194,255.3,348.5,Very Poor,40
HS_delhi_ncr_2025-10-26_068,delhi_ncr,2025-10-26,28.775,76.875,295.2,347.5,Very Poor,15
HS_delhi_ncr_2025-10-26_069,delhi_ncr,2025-10-26,28.7694,77.0972,276.9,342.7,Very Poor,27
HS_delhi_ncr_2025-10-26_070,delhi_ncr,2025-10-26,28.7708,77.3792,248.0,328.9,Very Poor,12
HS_delhi_ncr_2025-10-29_071,delhi_ncr,2025-10-29,28.875,77.5375,275.0,275.0,Poor,2
HS_delhi_ncr_2025-10-30_072,delhi_ncr,2025-10-30,28.85,77.225,331.4,331.4,Very Poor,2
HS_delhi_ncr_2025-10-30_073,delhi_ncr,2025-10-30,28.8205,77.3341,270.3,348.5,Very Poor,11
HS_delhi_ncr_2025-10-31_074,delhi_ncr,2025-10-31,28.5159,76.8614,239.5,265.7,Poor,11
HS_delhi_ncr_2025-10-31_075,delhi_ncr,2025-10-31,28.5036,77.1036,255.1,330.9,Very Poor,35
HS_delhi_ncr_2025-10-31_076,delhi_ncr,2025-10-31,28.5012,77.415,312.5,388.1,Very Poor,40
HS_delhi_ncr_2025-10-31_077,delhi_ncr,2025-10-31,28.7712,76.8788,238.0,291.2,Poor,13
HS_delhi_ncr_2025-10-31_078,delhi_ncr,2025-10-31,28.775,77.0991,287.3,347.4,Very Poor,29
HS_delhi_ncr_2025-10-31_079,delhi_ncr,2025-10-31,28.7735,77.4176,278.5,348.7,Very Poor,34
HS_delhi_ncr_2025-11-01_080,delhi_ncr,2025-11-01,28.4667,77.1083,321.6,384.8,Very Poor,12
HS_delhi_ncr_2025-11-01_081,delhi_ncr,2025-11-01,28.51,77.4542,359.7,394.9,Very Poor,30
HS_delhi_ncr_2025-11-01_082,delhi_ncr,2025-11-01,28.875,76.875,289.8,318.8,Very Poor,3
HS_delhi_ncr_2025-11-01_083,delhi_ncr,2025-11-01,28.7812,77.1125,312.6,360.0,Very Poor,16
HS_delhi_ncr_2025-11-01_084,delhi_ncr,2025-11-01,28.7654,77.4385,329.6,371.1,Very Poor,26
HS_delhi_ncr_2025-11-02_085,delhi_ncr,2025-11-02,28.5,76.875,294.5,354.8,Very Poor,18
HS_delhi_ncr_2025-11-02_086,delhi_ncr,2025-11-02,28.5,77.1,258.0,298.0,Poor,36
HS_delhi_ncr_2025-11-02_087,delhi_ncr,2025-11-02,28.5012,77.4194,267.5,332.2,Very Poor,40
HS_delhi_ncr_2025-11-02_088,delhi_ncr,2025-11-02,28.775,76.875,260.6,318.8,Very Poor,15
HS_delhi_ncr_2025-11-02_089,delhi_ncr,2025-11-02,28.775,77.1,258.7,306.1,Very Poor,30
HS_delhi_ncr_2025-11-02_090,delhi_ncr,2025-11-02,28.7702,77.4282,263.8,374.8,Very Poor,31
HS_delhi_ncr_2025-11-03_091,delhi_ncr,2025-11-03,28.48,76.865,216.1,219.3,Poor,10
HS_delhi_ncr_2025-11-03_092,delhi_ncr,2025-11-03,28.5229,77.1229,231.2,259.6,Poor,24
HS_delhi_ncr_2025-11-03_093,delhi_ncr,2025-11-03,28.5006,77.4231,250.3,331.0,Very Poor,39
HS_delhi_ncr_2025-11-03_094,delhi_ncr,2025-11-03,28.7861,76.8917,231.4,243.4,Poor,9
HS_delhi_ncr_2025-11-03_095,delhi_ncr,2025-11-03,28.775,77.1,258.5,305.0,Very Poor,30
HS_delhi_ncr_2025-11-03_096,delhi_ncr,2025-11-03,28.7735,77.4144,285.8,393.2,Very Poor,33
HS_delhi_ncr_2025-11-04_097,delhi_ncr,2025-11-04,28.545,76.89,252.9,330.2,Very Poor,10
HS_delhi_ncr_2025-11-04_098,delhi_ncr,2025-11-04,28.5107,77.0768,237.7,313.7,Very Poor,28
HS_delhi_ncr_2025-11-04_099,delhi_ncr,2025-11-04,28.5026,77.3983,227.2,249.9,Poor,29
HS_delhi_ncr_2025-11-04_100,delhi_ncr,2025-11-04,28.7708,76.8833,234.7,265.3,Poor,12
HS_delhi_ncr_2025-11-04_101,delhi_ncr,2025-11-04,28.7694,77.0917,241.2,304.4,Very Poor,27
HS_delhi_ncr_2025-11-04_102,delhi_ncr,2025-11-04,28.7806,77.4306,231.0,290.9,Poor,27
HS_delhi_ncr_2025-11-05_103,delhi_ncr,2025-11-05,28.5583,76.925,224.0,246.5,Poor,3
HS_delhi_ncr_2025-11-05_104,delhi_ncr,2025-11-05,28.5216,77.1147,248.0,306.3,Very Poor,29
HS_delhi_ncr_2025-11-05_105,delhi_ncr,2025-11-05,28.5012,77.4206,295.8,372.5,Very Poor,40
HS_delhi_ncr_2025-11-05_106,delhi_ncr,2025-11-05,28.8028,76.8861,253.4,291.5,Poor,9
HS_delhi_ncr_2025-11-05_107,delhi_ncr,2025-11-05,28.7713,77.0954,244.2,308.8,Very Poor,27
HS_delhi_ncr_2025-11-05_108,delhi_ncr,2025-11-05,28.7672,77.4148,271.2,358.8,Very Poor,32
HS_delhi_ncr_2025-11-06_109,delhi_ncr,2025-11-06,28.4865,76.8788,224.9,254.5,Poor,13
HS_delhi_ncr_2025-11-06_110,delhi_ncr,2025-11-06,28.5163,77.1185,234.4,299.9,Poor,23
HS_delhi_ncr_2025-11-06_111,delhi_ncr,2025-11-06,28.4971,77.4272,248.4,341.7,Very Poor,34
HS_delhi_ncr_2025-11-06_112,delhi_ncr,2025-11-06,28.7821,76.875,230.9,262.4,Poor,7
HS_delhi_ncr_2025-11-06_113,delhi_ncr,2025-11-06,28.7818,77.0795,222.6,287.0,Poor,22
HS_delhi_ncr_2025-11-06_114,delhi_ncr,2025-11-06,28.7769,77.4167,223.4,276.1,Poor,27
HS_delhi_ncr_2025-11-07_115,delhi_ncr,2025-11-07,28.5607,76.8679,226.4,261.8,Poor,7
HS_delhi_ncr_2025-11-07_116,delhi_ncr,2025-11-07,28.499,77.087,228.3,263.7,Poor,25
HS_delhi_ncr_2025-11-07_117,delhi_ncr,2025-11-07,28.5042,77.4368,270.1,356.3,Very Poor,36
HS_delhi_ncr_2025-11-07_118,delhi_ncr,2025-11-07,28.725,76.8679,251.7,303.7,Very Poor,7
HS_delhi_ncr_2025-11-07_119,delhi_ncr,2025-11-07,28.7641,77.125,261.2,317.1,Very Poor,23
HS_delhi_ncr_2025-11-07_120,delhi_ncr,2025-11-07,28.7625,77.408,251.7,309.2,Very Poor,28
HS_delhi_ncr_2025-11-08_121,delhi_ncr,2025-11-08,28.5,76.875,261.1,332.1,Very Poor,18
HS_delhi_ncr_2025-11-08_122,delhi_ncr,2025-11-08,28.4992,77.0895,290.6,371.5,Very Poor,31
HS_delhi_ncr_2025-11-08_123,delhi_ncr,2025-11-08,28.4982,77.4183,293.9,374.7,Very Poor,41
HS_delhi_ncr_2025-11-08_124,delhi_ncr,2025-11-08,28.775,76.875,273.4,319.1,Very Poor,15
HS_delhi_ncr_2025-11-08_125,delhi_ncr,2025-11-08,28.775,77.1,275.0,322.1,Very Poor,30
HS_delhi_ncr_2025-11-08_126,delhi_ncr,2025-11-08,28.7735,77.4176,262.3,367.0,Very Poor,34
HS_delhi_ncr_2025-11-09_127,delhi_ncr,2025-11-09,28.5,76.8821,251.6,275.8,Poor,14
HS_delhi_ncr_2025-11-09_128,delhi_ncr,2025-11-09,28.5,77.0926,247.3,291.4,Poor,34
HS_delhi_ncr_2025-11-09_129,delhi_ncr,2025-11-09,28.5034,77.4257,267.4,333.5,Very Poor,37
HS_delhi_ncr_2025-11-09_130,delhi_ncr,2025-11-09,28.775,76.875,269.9,322.3,Very Poor,15
HS_delhi_ncr_2025-11-09_131,delhi_ncr,2025-11-09,28.7825,77.0675,263.2,315.0,Very Poor,20
HS_delhi_ncr_2025-11-09_132,delhi_ncr,2025-11-09,28.7635,77.4288,249.7,366.5,Very Poor,26
HS_delhi_ncr_2025-11-10_133,delhi_ncr,2025-11-10,28.5,76.875,292.9,357.7,Very Poor,18
HS_delhi_ncr_2025-11-10_134,delhi_ncr,2025-11-10,28.5,77.1,298.8,378.9,Very Poor,36
HS_delhi_ncr_2025-11-10_135,delhi_ncr,2025-11-10,28.4982,77.4183,300.0,375.5,Very Poor,41
HS_delhi_ncr_2025-11-10_136,delhi_ncr,2025-11-10,28.775,76.875,314.1,384.7,Very Poor,15
HS_delhi_ncr_2025-11-10_137,delhi_ncr,2025-11-10,28.775,77.1,276.6,373.4,Very Poor,30
HS_delhi_ncr_2025-11-10_138,delhi_ncr,2025-11-10,28.7719,77.4133,275.2,357.3,Very Poor,32
HS_delhi_ncr_2025-11-11_139,delhi_ncr,2025-11-11,28.5062,76.8688,241.5,311.7,Very Poor,16
HS_delhi_ncr_2025-11-11_140,delhi_ncr,2025-11-11,28.5112,77.1043,255.6,318.4,Very Poor,29
HS_delhi_ncr_2025-11-11_141,delhi_ncr,2025-11-11,28.4982,77.4183,267.9,348.2,Very Poor,41
HS_delhi_ncr_2025-11-11_142,delhi_ncr,2025-11-11,28.775,76.8714,255.2,293.5,Poor,14
HS_delhi_ncr_2025-11-11_143,delhi_ncr,2025-11-11,28.775,77.1,267.5,353.2,Very Poor,30
HS_delhi_ncr_2025-11-11_144,delhi_ncr,2025-11-11,28.7669,77.4202,250.6,315.4,Very Poor,31
HS_delhi_ncr_2025-11-12_145,delhi_ncr,2025-11-12,28.5,76.875,236.8,283.6,Poor,18
HS_delhi_ncr_2025-11-12_146,delhi_ncr,2025-11-12,28.5196,77.0839,256.2,328.8,Very Poor,28
HS_delhi_ncr_2025-11-12_147,delhi_ncr,2025-11-12,28.5012,77.4194,268.5,343.3,Very Poor,40
HS_delhi_ncr_2025-11-12_148,delhi_ncr,2025-11-12,28.775,76.875,250.1,325.1,Very Poor,15
HS_delhi_ncr_2025-11-12_149,delhi_ncr,2025-11-12,28.775,77.1,268.6,357.4,Very Poor,30
HS_delhi_ncr_2025-11-12_150,delhi_ncr,2025-11-12,28.7735,77.4176,274.3,362.3,Very Poor,34
HS_delhi_ncr_2025-11-13_151,delhi_ncr,2025-11-13,28.525,76.875,239.7,279.1,Poor,15
HS_delhi_ncr_2025-11-13_152,delhi_ncr,2025-11-13,28.5015,77.1029,255.3,318.6,Very Poor,34
HS_delhi_ncr_2025-11-13_153,delhi_ncr,2025-11-13,28.4982,77.4183,278.0,362.8,Very Poor,41
HS_delhi_ncr_2025-11-13_154,delhi_ncr,2025-11-13,28.78,76.88,266.9,352.7,Very Poor,10
HS_delhi_ncr_2025-11-13_155,delhi_ncr,2025-11-13,28.775,77.1,284.9,426.5,Severe,30
HS_delhi_ncr_2025-11-13_156,delhi_ncr,2025-11-13,28.7735,77.4176,338.7,397.3,Very Poor,34
HS_delhi_ncr_2025-11-14_157,delhi_ncr,2025-11-14,28.49,76.895,262.2,309.2,Very Poor,10
HS_delhi_ncr_2025-11-14_158,delhi_ncr,2025-11-14,28.5029,77.0956,268.4,327.5,Very Poor,34
HS_delhi_ncr_2025-11-14_159,delhi_ncr,2025-11-14,28.4982,77.4183,291.9,394.5,Very Poor,41
HS_delhi_ncr_2025-11-14_160,delhi_ncr,2025-11-14,28.7786,76.8714,263.7,376.5,Very Poor,14
HS_delhi_ncr_2025-11-14_161,delhi_ncr,2025-11-14,28.775,77.1,263.5,318.5,Very Poor,30
HS_delhi_ncr_2025-11-14_162,delhi_ncr,2025-11-14,28.7589,77.3964,273.1,364.6,Very Poor,28
HS_delhi_ncr_2025-11-15_163,delhi_ncr,2025-11-15,28.4985,76.8779,256.1,297.5,Poor,17
HS_delhi_ncr_2025-11-15_164,delhi_ncr,2025-11-15,28.5029,77.0941,260.1,331.9,Very Poor,34
HS_delhi_ncr_2025-11-15_165,delhi_ncr,2025-11-15,28.4947,77.4257,248.8,312.2,Very Poor,38
HS_delhi_ncr_2025-11-15_166,delhi_ncr,2025-11-15,28.7788,76.875,237.6,315.6,Very Poor,13
HS_delhi_ncr_2025-11-15_167,delhi_ncr,2025-11-15,28.7716,77.0991,252.7,314.0,Very Poor,29
HS_delhi_ncr_2025-11-15_168,delhi_ncr,2025-11-15,28.7734,77.4094,261.8,336.4,Very Poor,32
HS_kanpur_industrial_2025-10-15_169,kanpur_industrial,2025-10-15,26.4393,80.1964,212.5,222.4,Poor,7
HS_kanpur_industrial_2025-10-15_170,kanpur_industrial,2025-10-15,26.4319,80.4284,219.5,268.3,Poor,29
HS_kanpur_industrial_2025-10-15_171,kanpur_industrial,2025-10-15,26.575,80.225,207.7,207.7,Poor,1
HS_kanpur_industrial_2025-10-15_172,kanpur_industrial,2025-10-15,26.575,80.4562,218.1,236.1,Poor,4
HS_kanpur_industrial_2025-10-16_173,kanpur_industrial,2025-10-16,26.365,80.195,208.0,220.7,Poor,5
HS_kanpur_industrial_2025-10-16_174,kanpur_industrial,2025-10-16,26.4025,80.425,216.8,269.3,Poor,20
HS_kanpur_industrial_2025-10-16_175,kanpur_industrial,2025-10-16,26.575,80.175,202.6,202.6,Poor,1
HS_kanpur_industrial_2025-10-16_176,kanpur_industrial,2025-10-16,26.575,80.55,201.3,201.3,Poor,1
HS_kanpur_industrial_2025-10-17_177,kanpur_industrial,2025-10-17,26.465,80.195,216.7,237.6,Poor,5
HS_kanpur_industrial_2025-10-17_178,kanpur_industrial,2025-10-17,26.4288,80.4135,225.3,277.7,Poor,26
HS_kanpur_industrial_2025-10-17_179,kanpur_industrial,2025-10-17,26.575,80.2,255.3,259.8,Poor,2
HS_kanpur_industrial_2025-10-17_180,kanpur_industrial,2025-10-17,26.575,80.41,228.2,255.6,Poor,5
HS_kanpur_industrial_2025-10-18_181,kanpur_industrial,2025-10-18,26.425,80.2,245.0,283.2,Poor,10
HS_kanpur_industrial_2025-10-18_182,kanpur_industrial,2025-10-18,26.4265,80.4176,264.3,310.1,Very Poor,34
HS_kanpur_industrial_2025-10-18_183,kanpur_industrial,2025-10-18,26.575,80.2,243.2,255.0,Poor,2
HS_kanpur_industrial_2025-10-18_184,kanpur_industrial,2025-10-18,26.575,80.4214,256.6,274.3,Poor,7
HS_kanpur_industrial_2025-10-19_185,kanpur_industrial,2025-10-19,26.4306,80.1972,240.2,261.1,Poor,9
HS_kanpur_industrial_2025-10-19_186,kanpur_industrial,2025-10-19,26.4295,80.4144,255.0,308.1,Very Poor,33
HS_kanpur_industrial_2025-10-19_187,kanpur_industrial,2025-10-19,26.575,80.2,225.2,229.9,Poor,2
HS_kanpur_industrial_2025-10-19_188,kanpur_industrial,2025-10-19,26.575,80.4214,260.2,294.9,Poor,7
HS_kanpur_industrial_2025-10-20_189,kanpur_industrial,2025-10-20,26.4375,80.2,239.9,268.1,Poor,8
HS_kanpur_industrial_2025-10-20_190,kanpur_industrial,2025-10-20,26.4212,80.3923,219.6,266.7,Poor,26
HS_kanpur_industrial_2025-10-20_191,kanpur_industrial,2025-10-20,26.575,80.2,227.3,234.6,Poor,2
HS_kanpur_industrial_2025-10-20_192,kanpur_industrial,2025-10-20,26.575,80.4214,218.0,230.0,Poor,7
HS_kanpur_industrial_2025-10-22_193,kanpur_industrial,2025-10-22,26.525,80.5167,256.0,256.0,Poor,3
HS_kanpur_industrial_2025-10-22_194,kanpur_industrial,2025-10-22,26.575,80.4458,250.7,256.8,Poor,6
HS_kanpur_industrial_2025-10-24_195,kanpur_industrial,2025-10-24,26.425,80.2,239.5,250.8,Poor,10
HS_kanpur_industrial_2025-10-24_196,kanpur_industrial,2025-10-24,26.4265,80.4176,246.6,298.1,Poor,34
HS_kanpur_industrial_2025-10-24_197,kanpur_industrial,2025-10-24,26.575,80.2,284.7,295.1,Poor,2
HS_kanpur_industrial_2025-10-24_198,kanpur_industrial,2025-10-24,26.575,80.4214,262.0,288.4,Poor,7
HS_kanpur_industrial_2025-10-25_199,kanpur_industrial,2025-10-25,26.475,80.2,214.2,220.3,Poor,6
HS_kanpur_industrial_2025-10-25_200,kanpur_industrial,2025-10-25,26.4267,80.4353,234.0,270.3,Poor,29
HS_kanpur_industrial_2025-10-25_201,kanpur_industrial,2025-10-25,26.575,80.2,220.6,231.1,Poor,2
HS_kanpur_industrial_2025-10-25_202,kanpur_industrial,2025-10-25,26.575,80.45,266.1,304.5,Very Poor,5
HS_kanpur_industrial_2025-10-26_203,kanpur_industrial,2025-10-26,26.425,80.1964,219.6,251.3,Poor,7
HS_kanpur_industrial_2025-10-26_204,kanpur_industrial,2025-10-26,26.4312,80.426,227.7,277.2,Poor,24
HS_kanpur_industrial_2025-10-26_205,kanpur_industrial,2025-10-26,26.575,80.2,208.4,211.7,Poor,2
HS_kanpur_industrial_2025-10-26_206,kanpur_industrial,2025-10-26,26.575,80.4375,227.8,239.7,Poor,6
HS_kanpur_industrial_2025-10-29_207,kanpur_industrial,2025-10-29,26.4875,80.4667,259.3,296.4,Poor,12
HS_kanpur_industrial_2025-10-29_208,kanpur_industrial,2025-10-29,26.575,80.4937,279.7,296.4,Poor,4
HS_kanpur_industrial_2025-11-01_209,kanpur_industrial,2025-11-01,26.4361,80.1972,217.3,234.8,Poor,9
HS_kanpur_industrial_2025-11-01_210,kanpur_industrial,2025-11-01,26.4328,80.4187,241.2,284.2,Poor,32
HS_kanpur_industrial_2025-11-01_211,kanpur_industrial,2025-11-01,26.575,80.2,228.2,229.5,Poor,2
HS_kanpur_industrial_2025-11-01_212,kanpur_industrial,2025-11-01,26.575,80.4214,243.1,272.8,Poor,7
HS_kanpur_industrial_2025-11-02_213,kanpur_industrial,2025-11-02,26.425,80.2,263.1,278.3,Poor,10
HS_kanpur_industrial_2025-11-02_214,kanpur_industrial,2025-11-02,26.4312,80.4172,264.2,304.4,Very Poor,32
HS_kanpur_industrial_2025-11-02_215,kanpur_industrial,2025-11-02,26.575,80.2,278.8,295.2,Poor,2
HS_kanpur_industrial_2025-11-02_216,kanpur_industrial,2025-11-02,26.575,80.4214,262.4,290.3,Poor,7
HS_kanpur_industrial_2025-11-03_217,kanpur_industrial,2025-11-03,26.425,80.2,246.3,264.9,Poor,10
HS_kanpur_industrial_2025-11-03_218,kanpur_industrial,2025-11-03,26.4265,80.4176,265.8,313.6,Very Poor,34
HS_kanpur_industrial_2025-11-03_219,kanpur_industrial,2025-11-03,26.575,80.2,234.0,241.0,Poor,2
HS_kanpur_industrial_2025-11-03_220,kanpur_industrial,2025-11-03,26.575,80.4214,300.0,327.8,Very Poor,7
HS_kanpur_industrial_2025-11-04_221,kanpur_industrial,2025-11-04,26.45,80.47,238.1,250.9,Poor,10
HS_kanpur_industrial_2025-11-05_222,kanpur_industrial,2025-11-05,26.425,80.2,246.6,272.9,Poor,10
HS_kanpur_industrial_2025-11-05_223,kanpur_industrial,2025-11-05,26.4317,80.43,235.8,319.5,Very Poor,30
HS_kanpur_industrial_2025-11-05_224,kanpur_industrial,2025-11-05,26.575,80.2,250.4,253.6,Poor,2
HS_kanpur_industrial_2025-11-05_225,kanpur_industrial,2025-11-05,26.575,80.4214,230.6,247.9,Poor,7
HS_kanpur_industrial_2025-11-06_226,kanpur_industrial,2025-11-06,26.425,80.175,204.6,204.6,Poor,1
HS_kanpur_industrial_2025-11-06_227,kanpur_industrial,2025-11-06,26.525,80.525,202.9,202.9,Poor,1
HS_kanpur_industrial_2025-11-06_228,kanpur_industrial,2025-11-06,26.575,80.225,220.7,220.7,Poor,1
HS_kanpur_industrial_2025-11-06_229,kanpur_industrial,2025-11-06,26.575,80.325,227.1,238.4,Poor,3
HS_kanpur_industrial_2025-11-07_230,kanpur_industrial,2025-11-07,26.425,80.2,255.9,291.4,Poor,10
HS_kanpur_industrial_2025-11-07_231,kanpur_industrial,2025-11-07,26.4446,80.4045,233.7,278.9,Poor,28
HS_kanpur_industrial_2025-11-07_232,kanpur_industrial,2025-11-07,26.575,80.2,254.0,265.7,Poor,2
